55.56%,4,4
44.44%,4,4
55.56%,4,4
88.89%,4,4
66.67%,4,4
55.56%,4,4
44.44%,3,3
33.33%,3,3
55.56%,3,3
88.89%,4,4
55.56%,3,3
44.44%,5,5
55.56%,3,3
66.67%,4,4
55.56%,3,3
44.44%,5,5
55.56%,3,3
55.56%,4,4
66.67%,3,3
66.67%,4,4
55.56%,3,3
55.56%,3,3
44.44%,2,2
55.56%,4,4
66.67%,2,2
55.56%,5,5
44.44%,4,4
66.67%,3,3
33.33%,5,5
44.44%,2,2
55.56%,2,2
55.56%,4,4
66.67%,3,3
55.56%,3,3
66.67%,4,4
44.44%,4,4
44.44%,4,4
55.56%,3,3
44.44%,2,2
77.78%,3,3
55.56%,4,4
44.44%,4,4
66.67%,4,4
55.56%,4,4
44.44%,3,3
22.22%,6,6
77.78%,4,4
66.67%,4,4
44.44%,4,4
66.67%,3,3
44.44%,3,3
55.56%,3,3
55.56%,4,4
55.56%,4,4
44.44%,3,3
66.67%,4,4
55.56%,3,3
55.56%,4,4
22.22%,2,2
55.56%,4,4
55.56%,4,4
55.56%,3,3
55.56%,4,4
33.33%,3,3
55.56%,3,3
55.56%,5,5
55.56%,4,4
55.56%,3,3
22.22%,3,3
66.67%,4,4
55.56%,3,3
66.67%,3,3
66.67%,4,4
33.33%,3,3
55.56%,4,4
66.67%,2,2
44.44%,4,4
44.44%,3,3
55.56%,3,3
44.44%,5,5
55.56%,4,4
55.56%,4,4
55.56%,3,3
55.56%,3,3
55.56%,5,5
55.56%,3,3
44.44%,3,3
33.33%,3,3
66.67%,4,4
77.78%,3,3
66.67%,3,3
55.56%,3,3
44.44%,4,4
66.67%,3,3
55.56%,4,4
55.56%,4,4
44.44%,3,3
44.44%,3,3
66.67%,3,3
44.44%,2,2
33.33%,2,2
66.67%,4,4
44.44%,4,4
55.56%,4,4
44.44%,3,3
66.67%,3,3
55.56%,5,5
55.56%,3,3
44.44%,3,3
66.67%,4,4
66.67%,3,3
88.89%,4,4
55.56%,3,3
66.67%,4,4
77.78%,4,4
33.33%,2,2
44.44%,3,3
44.44%,4,4
55.56%,3,3
66.67%,3,3
66.67%,3,3
77.78%,4,4
55.56%,3,3
44.44%,2,2
88.89%,3,3
55.56%,3,3
55.56%,3,3
77.78%,4,4
77.78%,4,4
55.56%,4,4
55.56%,3,3
55.56%,3,3
55.56%,4,4
44.44%,2,2
77.78%,3,3
44.44%,4,4
55.56%,4,4
55.56%,3,3
77.78%,4,4
66.67%,3,3
66.67%,4,4
55.56%,4,4
55.56%,3,3
55.56%,3,3
33.33%,3,3
44.44%,3,3
77.78%,5,5
22.22%,5,5
44.44%,5,5
33.33%,2,2
44.44%,4,4
66.67%,5,5
55.56%,3,3
33.33%,4,4
55.56%,3,3
77.78%,3,3
55.56%,4,4
33.33%,2,2
44.44%,3,3
66.67%,3,3
44.44%,3,3
77.78%,4,4
22.22%,2,2
44.44%,4,4
55.56%,2,2
33.33%,5,5
66.67%,3,3
44.44%,5,5
55.56%,3,3
44.44%,4,4
44.44%,5,5
55.56%,3,3
55.56%,3,3
55.56%,3,3
55.56%,3,3
44.44%,4,4
77.78%,3,3
55.56%,4,4
66.67%,4,4
55.56%,4,4
66.67%,3,3
33.33%,4,4
55.56%,3,3
55.56%,3,3
55.56%,3,3
44.44%,4,4
88.89%,4,4
66.67%,4,4
33.33%,5,5
77.78%,3,3
55.56%,4,4
55.56%,5,5
55.56%,2,2
55.56%,3,3
44.44%,4,4
55.56%,4,4
66.67%,3,3
55.56%,4,4
44.44%,3,3
55.56%,4,4
44.44%,3,3
66.67%,3,3
66.67%,4,4
66.67%,5,5
66.67%,3,3
55.56%,4,4
66.67%,3,3
55.56%,4,4
66.67%,3,3
44.44%,3,3
55.56%,5,5
33.33%,3,3
33.33%,6,6
66.67%,3,3
33.33%,4,4
55.56%,3,3
55.56%,3,3
55.56%,3,3
55.56%,3,3
44.44%,3,3
66.67%,4,4
55.56%,3,3
66.67%,3,3
44.44%,3,3
55.56%,3,3
55.56%,4,4
66.67%,3,3
44.44%,4,4
55.56%,3,3
55.56%,4,4
55.56%,4,4
44.44%,4,4
33.33%,2,2
44.44%,3,3
55.56%,3,3
66.67%,3,3
33.33%,5,5
44.44%,3,3
44.44%,3,3
66.67%,3,3
55.56%,5,5
55.56%,4,4
66.67%,4,4
77.78%,4,4
77.78%,4,4
44.44%,4,4
55.56%,3,3
44.44%,3,3
77.78%,4,4
77.78%,4,4
55.56%,3,3
66.67%,4,4
77.78%,4,4
33.33%,2,2
55.56%,4,4
66.67%,4,4
55.56%,5,5
44.44%,3,3
66.67%,3,3
55.56%,3,3
44.44%,5,5
55.56%,4,4
66.67%,4,4
77.78%,4,4
55.56%,3,3
55.56%,4,4
44.44%,2,2
66.67%,3,3
55.56%,3,3
55.56%,3,3
55.56%,3,3
55.56%,4,4
55.56%,3,3
33.33%,2,2
66.67%,3,3
33.33%,4,4
55.56%,3,3
88.89%,4,4
66.67%,3,3
77.78%,4,4
66.67%,4,4
22.22%,4,4
44.44%,2,2
55.56%,4,4
44.44%,3,3
44.44%,3,3
55.56%,3,3
66.67%,5,5
55.56%,4,4
33.33%,3,3
55.56%,4,4
66.67%,4,4
77.78%,4,4
66.67%,3,3
77.78%,4,4
44.44%,4,4
77.78%,4,4
66.67%,3,3
44.44%,3,3
55.56%,4,4
44.44%,3,3
44.44%,3,3
33.33%,3,3
44.44%,4,4
44.44%,4,4
66.67%,5,5
44.44%,3,3
44.44%,4,4
55.56%,4,4
66.67%,4,4
55.56%,3,3
44.44%,3,3
33.33%,2,2
33.33%,3,3
66.67%,3,3
55.56%,3,3
66.67%,4,4
44.44%,3,3
44.44%,3,3
55.56%,4,4
55.56%,3,3
55.56%,3,3
55.56%,3,3
55.56%,5,5
44.44%,4,4
55.56%,3,3
66.67%,3,3
33.33%,3,3
55.56%,4,4
33.33%,4,4
77.78%,4,4
44.44%,3,3
44.44%,3,3
66.67%,5,5
66.67%,4,4
55.56%,3,3
44.44%,3,3
55.56%,4,4
44.44%,4,4
55.56%,4,4
55.56%,5,5
66.67%,4,4
55.56%,3,3
33.33%,3,3
55.56%,4,4
55.56%,3,3
55.56%,3,3
77.78%,3,3
33.33%,2,2
33.33%,2,2
44.44%,5,5
55.56%,3,3
77.78%,4,4
22.22%,3,3
77.78%,4,4
55.56%,4,4
44.44%,2,2
66.67%,3,3
44.44%,2,2
44.44%,3,3
44.44%,4,4
44.44%,2,2
66.67%,4,4
33.33%,2,2
44.44%,2,2
55.56%,3,3
55.56%,4,4
55.56%,4,4
66.67%,4,4
55.56%,5,5
44.44%,3,3
33.33%,3,3
55.56%,3,3
77.78%,3,3
55.56%,3,3
77.78%,4,4
66.67%,4,4
66.67%,4,4
55.56%,4,4
33.33%,5,5
55.56%,5,5
77.78%,3,3
44.44%,2,2
77.78%,4,4
55.56%,4,4
44.44%,3,3
77.78%,3,3
55.56%,2,2
88.89%,3,3
66.67%,3,3
55.56%,5,5
55.56%,5,5
44.44%,3,3
33.33%,3,3
55.56%,3,3
77.78%,3,3
33.33%,3,3
66.67%,3,3
55.56%,3,3
44.44%,3,3
55.56%,3,3
55.56%,4,4
55.56%,3,3
44.44%,4,4
55.56%,4,4
66.67%,3,3
55.56%,3,3
55.56%,3,3
55.56%,4,4
55.56%,3,3
55.56%,3,3
44.44%,3,3
44.44%,3,3
77.78%,5,5
55.56%,4,4
55.56%,4,4
55.56%,6,6
44.44%,3,3
55.56%,4,4
77.78%,4,4
55.56%,4,4
66.67%,3,3
